quarter_cad_number;street;wall_material_code;year_build;floor;area;period_start_date;deal_price;price_per_sqm
78:10:0005209;Бутлерова;Кирпичные;1963;3;64.00000001;01.01.2025;11900000.0;185937.5
78:10:0005209;Бутлерова;Кирпичные;1964;4;31.10000001;01.01.2025;5500000.0;176848.87
78:10:0005209;Гражданский;Кирпичные;1975;2;28.10000001;01.01.2025;5700000.0;202846.98
78:10:0005209;Гражданский;Кирпичные;1966;3;45.50000001;01.01.2025;7800000.0;171428.57
78:10:0005209;Бутлерова;Кирпичные;1964;1;31.50000001;01.01.2025;5750000.0;182539.68
78:10:0005209;Бутлерова;Кирпичные;1963;3;43.30000001;01.04.2025;8500000.0;196304.85
78:10:0005209;Бутлерова;Кирпичные;1963;5;32.00000001;01.04.2025;5400000.0;168750.0
78:10:0005209;Бутлерова;Кирпичные;1964;5;64.30000001;01.04.2025;11700000.0;181959.56
78:10:0005209;Бутлерова;Кирпичные;1965;8;43.10000001;01.04.2025;9000000.0;208816.71
78:10:0005209;Бутлерова;Кирпичные;1968;2;58.10000001;01.04.2025;10100000.0;173838.21
78:10:0005209;Бутлерова;Кирпичные;1973;1;37.80000001;01.04.2025;6650000.0;175925.93
78:10:0005209;Верности;Кирпичные;1963;3;31.20000001;01.04.2025;6450000.0;206730.77
78:10:0005209;Верности;Кирпичные;1964;7;59.20000001;01.04.2025;9300000.0;157094.59
78:10:0005209;Гражданский;Кирпичные;1963;1;74.70000001;01.04.2025;13000000.0;174029.45
78:10:0005209;Гражданский;Кирпичные;1963;5;86.70000001;01.04.2025;12500000.0;144175.32
78:10:0005209;Гражданский;Кирпичные;1966;3;33.10000001;01.04.2025;6500000.0;196374.62
78:10:0005209;Гражданский;Кирпичные;1966;8;57.60000001;01.04.2025;10500000.0;182291.67
78:10:0005209;Гражданский;Кирпичные;1966;9;33.10000001;01.04.2025;6200000.0;187311.18
78:10:0005209;Гражданский;Кирпичные;1968;3;35.20000001;01.04.2025;5500000.0;156250.0
78:10:0005209;Гражданский;Кирпичные;1968;7;36.50000001;01.04.2025;6050000.0;165753.42
78:10:0005209;Фаворского;Кирпичные;1964;4;89.70000001;01.04.2025;15650000.0;174470.46
78:10:0005209;Фаворского;Кирпичные;1965;2;32.00000001;01.04.2025;8199000.0;256218.75
78:10:0005209;Бутлерова;Кирпичные;1963;2;120.10000001;01.07.2025;19400000.0;161532.06
78:10:0005209;Бутлерова;Кирпичные;1963;3;63.50000001;01.07.2025;11350000.0;178740.16
78:10:0005209;Бутлерова;Кирпичные;1963;5;31.40000001;01.07.2025;6650000.0;211783.44
78:10:0005209;Бутлерова;Кирпичные;1964;1;91.10000001;01.07.2025;12700000.0;139407.24
78:10:0005209;Бутлерова;Кирпичные;1964;3;77.90000001;01.07.2025;14850000.0;190629.01
78:10:0005209;Бутлерова;Кирпичные;1964;4;47.70000001;01.07.2025;12000000.0;251572.33
78:10:0005209;Бутлерова;Кирпичные;1965;7;43.80000001;01.07.2025;8300000.0;189497.72
78:10:0005209;Бутлерова;Кирпичные;1965;8;42.30000001;01.07.2025;8700000.0;205673.76
78:10:0005209;Бутлерова;Кирпичные;1968;2;58.90000001;01.07.2025;8700000.0;147707.98
78:10:0005209;Бутлерова;Кирпичные;1968;4;47.30000001;01.07.2025;9750000.0;206131.08
78:10:0005209;Бутлерова;Кирпичные;1968;6;81.40000001;01.07.2025;12500000.0;153562.65
78:10:0005209;Верности;Кирпичные;1963;2;45.10000001;01.07.2025;7200000.0;159645.23
78:10:0005209;Верности;Кирпичные;1963;4;56.70000001;01.07.2025;8300000.0;146384.48
78:10:0005209;Верности;Кирпичные;1965;5;60.10000001;01.07.2025;9600000.0;159733.78
78:10:0005209;Верности;Кирпичные;1969;4;35.40000001;01.07.2025;7400000.0;209039.55
78:10:0005209;Гражданский;Кирпичные;1963;1;201.60000001;01.07.2025;29070000.0;144196.43
78:10:0005209;Гражданский;Кирпичные;1963;2;31.60000001;01.07.2025;6700000.0;212025.32
78:10:0005209;Гражданский;Кирпичные;1963;4;31.30000001;01.07.2025;6770000.0;216293.93
78:10:0005209;Гражданский;Кирпичные;1964;3;28.30000001;01.07.2025;4735000.0;167314.49
78:10:0005209;Гражданский;Кирпичные;1966;5;58.80000001;01.07.2025;12150000.0;206632.65
78:10:0005209;Гражданский;Кирпичные;1966;7;34.90000001;01.07.2025;7300000.0;209169.05
78:10:0005209;Гражданский;Кирпичные;1966;8;58.40000001;01.07.2025;10300000.0;176369.86
78:10:0005209;Гражданский;Кирпичные;1966;9;59.80000001;01.07.2025;10100000.0;168896.32
78:10:0005209;Гражданский;Кирпичные;1968;11;35.40000001;01.07.2025;6500000.0;183615.82
78:10:0005209;Гражданский;Кирпичные;1968;3;50.80000001;01.07.2025;10100000.0;198818.9
78:10:0005209;Гражданский;Кирпичные;1968;7;79.90000001;01.07.2025;14500000.0;181476.85
78:10:0005209;Гражданский;Кирпичные;1968;9;46.50000001;01.07.2025;8500000.0;182795.7
78:10:0005209;Гражданский;Кирпичные;1973;9;41.60000001;01.07.2025;7500000.0;180288.46
78:10:0005209;Гражданский;Кирпичные;1975;2;37.80000001;01.07.2025;7200000.0;190476.19
78:10:0005209;Фаворского;Кирпичные;1964;9;48.20000001;01.07.2025;7000000.0;145228.22
78:10:0005218;Верности;Кирпичные;1966;4;65.80000001;01.01.2024;13350000.0;202887.54
78:10:0005218;Науки;Кирпичные;1969;4;45.90000001;01.01.2024;7250000.0;157952.07
78:10:0005218;Науки;Кирпичные;1969;12;45.30000001;01.01.2024;10200000.0;225165.56
78:10:0005218;Науки;Кирпичные;1970;6;35.00000001;01.01.2024;7000000.0;200000.0
78:10:0005218;Науки;Кирпичные;1968;3;56.10000001;01.01.2024;12000000.0;213903.74
78:10:0005218;Верности;Кирпичные;1966;7;44.40000001;01.01.2024;9250000.0;208333.33
78:10:0005218;Науки;Кирпичные;1969;10;44.20000001;01.01.2024;7950000.0;179864.25
78:10:0005218;Науки;Кирпичные;1968;4;57.80000001;01.04.2024;9700000.0;167820.07
78:10:0005218;Верности;Кирпичные;1967;8;47.40000001;01.04.2024;7500000.0;158227.85
78:10:0005218;Науки;Кирпичные;1969;12;46.60000001;01.04.2024;9150000.0;196351.93
78:10:0005218;Верности;Кирпичные;1966;3;36.00000001;01.04.2024;6500000.0;180555.56
78:10:0005218;Карпинского;Кирпичные;1966;1;54.60000001;01.04.2024;9150000.0;167582.42
78:10:0005218;Верности;Кирпичные;1966;4;34.70000001;01.04.2024;6000000.0;172910.66
78:10:0005218;Верности;Кирпичные;1966;6;47.60000001;01.04.2024;10000000.0;210084.03
